"Year","Associated_tsunami","Associated_earthquake","Country","Latitude","Longitude","Elevation","Type","Status","Time","VEI","Deaths","Deaths_description","Missing","Missing_description","Injuries","Injuries_description","Damage_million_dollars","Damage_description","Houses_destroyed","Houses_destroyed_description"
1329,0,0,"Italy",37.734,15.004,3350,"Stratovolcano","Historical","D1",1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
1331,0,0,"Japan",32.88,131.1,1592,"Caldera","Historical","D1",2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1334,0,0,"Indonesia",-7.93,112.308,1731,"Stratovolcano","Historical","D1",3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1341,0,0,"Iceland",63.98,-19.7,1491,"Stratovolcano","Historical","D1",3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1357,0,0,"Iceland",63.63,-19.05,1512,"Subglacial volcano","Historical","D2",4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1362,0,0,"Iceland",64,-16.65,2119,"Stratovolcano","Historical","D4",5,220,3,NA,NA,NA,NA,NA,NA,NA,NA
1376,0,0,"Indonesia",-7.93,112.308,1731,"Stratovolcano","Historical","D1",3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1385,0,0,"Indonesia",-7.93,112.308,1731,"Stratovolcano","Historical","D1",3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1389,0,0,"Iceland",63.98,-19.7,1491,"Stratovolcano","Historical","D1",3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1410,0,0,"Japan",37.12,139.97,1917,"Stratovolcano","Historical","D2",3,180,3,NA,NA,NA,NA,NA,NA,NA,NA
1452,0,0,"Vanuatu",-16.829,168.536,-2,"Caldera","Historical","D1",6,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
1471,0,0,"Japan",31.58,130.67,1117,"Stratovolcano","Historical","D1",5,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
1477,0,0,"Iceland",64.63,-17.53,2000,"Stratovolcano","Historical","D2",6,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1485,0,0,"Japan",32.88,131.1,1592,"Caldera","Historical","D1",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1500,0,0,"Iceland",63.63,-19.05,1512,"Subglacial volcano","Historical","D2",4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1510,0,0,"Iceland",63.98,-19.7,1491,"Stratovolcano","Historical","D1",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1536,0,0,"Italy",37.734,15.004,3350,"Stratovolcano","Historical","D1",3,1,1,NA,NA,NA,NA,NA,NA,NA,NA
