"Year","Associated_tsunami","Associated_earthquake","Country","Latitude","Longitude","Elevation","Type","Status","Time","VEI","Deaths","Deaths_description","Missing","Missing_description","Injuries","Injuries_description","Damage_million_dollars","Damage_description","Houses_destroyed","Houses_destroyed_description"
1918,0,0,"Iceland",63.63,-19.05,1512,"Subglacial volcano","Historical","D2",4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1919,0,0,"Mexico",19.023,-98.622,5426,"Stratovolcano","Historical","D1",1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
1919,1,0,"Indonesia",3.138,125.491,-5,"Submarine volcano","Historical","D2",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1919,0,0,"Indonesia",-7.93,112.308,1731,"Stratovolcano","Historical","D1",4,5110,4,NA,NA,NA,NA,NA,NA,9000,3
1919,1,0,"Italy",38.789,15.213,926,"Stratovolcano","Historical","D1",3,4,1,NA,NA,NA,3,NA,NA,10,1
1919,1,0,"United States",19.475,-155.608,4170,"Shield volcano","Historical","D1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,0,0,"Indonesia",-7.542,110.442,2947,"Stratovolcano","Historical","D1",3,33,1,NA,NA,NA,NA,NA,NA,NA,NA
1920,0,0,"El Salvador",13.813,-89.633,1950,"Stratovolcano","Historical","D1",3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1923,0,0,"Indonesia",-7.32,107.73,2665,"Stratovolcano","Historical","D2",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1923,0,0,"Japan",31.93,130.87,1700,"Shield volcano","Historical","D1",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1924,0,0,"United States",19.425,-155.292,1222,"Shield volcano","Historical","D1",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1926,0,0,"Japan",43.42,142.68,2077,"Stratovolcano","Historical","D1",3,146,3,NA,NA,207,3,NA,NA,5080,3
1927,1,0,"Indonesia",-8.32,121.708,875,"Stratovolcano","Historical","D1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1927,0,0,"Iceland",64.27,-16.65,1760,"Stratovolcano","Historical","D2",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1928,0,0,"Greece",36.404,25.396,329,"Shield volcano","Historical","D2",2,48,1,NA,NA,NA,NA,NA,NA,NA,NA
1928,0,0,"Philippines",13.257,123.685,2462,"Stratovolcano","Historical","D1",3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1928,1,0,"Indonesia",-6.102,105.423,813,"Caldera","Historical","D1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1928,0,0,"Indonesia",-7.2,109.92,2565,"Complex volcano","Historical","D1",2,40,1,NA,NA,NA,NA,NA,NA,NA,NA
1928,1,0,"Indonesia",-8.32,121.708,875,"Stratovolcano","Historical","D1",3,98,2,NA,NA,NA,NA,NA,NA,NA,NA
1928,0,0,"Italy",37.734,15.004,3350,"Stratovolcano","Historical","D1",1,5,1,NA,NA,NA,NA,NA,NA,NA,NA
1929,0,0,"Japan",42.07,140.68,1140,"Stratovolcano","Historical","D1",4,2,1,NA,NA,4,1,NA,NA,NA,NA
1929,0,0,"Guatemala",14.756,-91.552,3772,"Stratovolcano","Historical","D1",3,200,3,NA,NA,NA,NA,NA,NA,NA,NA
1930,1,0,"Indonesia",-6.102,105.423,813,"Caldera","Historical","D1",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,0,0,"Japan",36.4,138.53,2560,"Complex volcano","Historical","D1",3,6,1,NA,NA,NA,NA,NA,NA,NA,NA
1930,1,0,"Italy",38.789,15.213,926,"Stratovolcano","Historical","D1",3,5,1,NA,NA,20,1,NA,2,NA,NA
1930,0,0,"Indonesia",-7.542,110.442,2947,"Stratovolcano","Historical","D1",3,1369,4,NA,NA,NA,NA,NA,3,1109,3
1931,0,0,"Japan",36.4,138.53,2560,"Complex volcano","Historical","D1",3,3,1,NA,NA,NA,NA,NA,NA,NA,NA
1932,0,0,"Guatemala",14.473,-90.88,3763,"Stratovolcano","Historical","D1",4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1932,0,0,"Japan",36.62,138.55,2176,"Stratovolcano","Historical","D1",3,2,1,NA,NA,7,1,NA,NA,NA,NA
1933,1,1,"Russia",49.12,154.508,1145,"Stratovolcano","Historical","D2",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1933,0,0,"Japan",30.43,130.22,649,"Stratovolcano","Historical","D1",4,8,1,NA,NA,26,1,NA,NA,NA,NA
1933,1,0,"Philippines",12.77,124.05,1565,"Stratovolcano","Historical","D1",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1936,0,0,"Japan",36.4,138.53,2560,"Complex volcano","Historical","D1",3,2,1,NA,NA,NA,NA,NA,NA,NA,NA
1937,0,0,"Chile",-38.692,-71.729,3125,"Stratovolcano","Historical","D1",2,3,1,NA,NA,NA,NA,NA,NA,NA,NA
1937,1,1,"Papua New Guinea",-4.271,152.203,688,"Pyroclastic shield","Historical","D1",4,507,3,NA,NA,NA,NA,NA,1,NA,1
1938,1,0,"Congo, DRC",-1.408,29.2,3058,"Shield volcano","Historical","D1",1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1938,0,0,"Philippines",13.257,123.685,2462,"Stratovolcano","Historical","D1",2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1939,0,0,"Japan",30.48,140.32,403,"Stratovolcano","Historical","D1",2,2,1,NA,NA,NA,NA,NA,NA,NA,NA
1939,0,0,"Indonesia",-7.2,109.92,2565,"Complex volcano","Historical","D1",1,10,1,NA,NA,NA,NA,NA,1,NA,NA
1940,0,0,"Indonesia",2.78,125.48,1784,"Stratovolcano","Historical","D1",2,1,1,NA,NA,2,1,NA,NA,NA,NA
1940,0,0,"Japan",34.08,139.53,815,"Stratovolcano","Historical","D1",2,11,1,NA,NA,20,1,NA,NA,NA,NA
1940,0,0,"Tanzania",-2.751,35.902,2890,"Stratovolcano","Historical","D1",2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1941,0,0,"Japan",36.4,138.53,2560,"Complex volcano","Historical","D1",2,1,1,NA,NA,1,1,NA,NA,NA,NA
1941,0,0,"Indonesia",-8.108,112.92,3676,"Stratovolcano","Historical","D1",2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1943,0,0,"Mexico",19.48,-102.25,3860,"Cinder cone","Historical","D2",4,3,1,NA,NA,NA,NA,NA,NA,NA,NA
1943,0,0,"Ecuador",-0.9,-91.42,1690,"Shield volcano","Historical","D1",3,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1944,0,0,"Italy",40.821,14.426,1281,"Complex volcano","Historical","D2",2,27,1,NA,NA,NA,NA,NA,NA,NA,NA
1944,0,0,"United States",52.82,-169.95,1730,"Stratovolcano","Historical","D1",3,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1944,0,0,"Japan",42.53,140.83,731,"Stratovolcano","Historical","D1",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1944,1,0,"Italy",38.789,15.213,926,"Stratovolcano","Historical","D1",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1944,0,0,"Indonesia",-7.2,109.92,2565,"Complex volcano","Historical","D1",2,117,3,NA,NA,250,3,NA,NA,NA,NA
1946,0,0,"Japan",31.58,130.67,1117,"Stratovolcano","Historical","D1",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1946,0,0,"Indonesia",-8.108,112.92,3676,"Stratovolcano","Historical","D1",2,6,1,NA,NA,NA,NA,NA,2,81,2
1946,0,0,"Indonesia",-8.108,112.92,3676,"Stratovolcano","Historical","D1",2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1947,0,0,"Philippines",13.257,123.685,2462,"Stratovolcano","Historical","D1",2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1947,0,0,"Japan",36.4,138.53,2560,"Complex volcano","Historical","D1",2,11,1,NA,NA,NA,NA,NA,NA,NA,NA
1947,0,0,"Iceland",63.98,-19.7,1491,"Stratovolcano","Historical","D1",4,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1948,0,0,"Indonesia",-8.54,123.59,1018,"Complex volcano","Historical","D1",2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
1948,0,0,"Philippines",9.203,124.673,1332,"Stratovolcano","Historical","D2",3,68,2,NA,NA,NA,NA,NA,NA,NA,NA
1948,0,0,"Chile",-39.42,-71.93,2847,"Stratovolcano","Historical","D1",3,36,1,NA,NA,NA,NA,NA,NA,NA,NA
1949,0,0,"Colombia",2.32,-76.4,4650,"Stratovolcano","Historical","D1",2,17,1,NA,NA,NA,NA,NA,NA,NA,NA
1950,0,0,"Indonesia",-8.108,112.92,3676,"Stratovolcano","Historical","D1",1,6,1,NA,NA,NA,NA,NA,NA,NA,NA
1950,0,0,"Japan",36.4,138.53,2560,"Complex volcano","Historical","D1",2,1,1,NA,NA,1,1,NA,NA,NA,1
1951,0,0,"Papua New Guinea",-8.95,148.15,1680,"Stratovolcano","Historical","D2",4,2942,4,NA,NA,NA,2,NA,NA,NA,NA
1951,1,1,"Nicaragua",12.98,-87.57,872,"Stratovolcano","Historical","D3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951,0,0,"Indonesia",-7.93,112.308,1731,"Stratovolcano","Historical","D1",3,7,1,NA,NA,NA,NA,NA,NA,NA,NA
1951,1,0,"Solomon Is.",-9.02,157.95,-20,"Submarine volcano","Historical","D1",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,1,0,"Japan",32.1,139.85,360,"Submarine volcano","Holocene","Unknown",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,1,0,"Japan",32.1,139.85,360,"Submarine volcano","Holocene","Unknown",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,1,0,"Japan",32.1,139.85,360,"Submarine volcano","Holocene","Unknown",2,31,1,NA,NA,NA,NA,NA,1,NA,NA
1952,1,0,"Japan",32.1,139.85,360,"Submarine volcano","Holocene","Unknown",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,0,0,"Philippines",17.32,121.1,2329,"Compound volcano","Fumarolic","U",1,12,1,NA,NA,NA,NA,NA,NA,NA,NA
1953,1,0,"Japan",32.1,139.85,360,"Submarine volcano","Holocene","Unknown",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953,0,0,"Indonesia",-7.542,110.442,2947,"Stratovolcano","Historical","D1",3,64,2,NA,NA,57,2,NA,2,144,3
1953,1,0,"Japan",32.1,139.85,360,"Submarine volcano","Holocene","Unknown",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953,0,0,"Japan",32.88,131.1,1592,"Caldera","Historical","D1",2,6,1,NA,NA,NA,NA,NA,NA,NA,NA
1953,1,0,"Papua New Guinea",-2.38,147.35,270,"Complex volcano","Historical","D2",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953,0,0,"Indonesia",-8.51,124.148,862,"Complex volcano","Historical","D1",0,5,1,NA,NA,1,1,NA,NA,NA,NA
1953,0,0,"Japan",34.73,139.38,758,"Stratovolcano","Historical","D1",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1954,1,0,"Italy",38.789,15.213,926,"Stratovolcano","Historical","D1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954,0,0,"Papua New Guinea",-3.6,144.85,685,"Stratovolcano","Historical","D2",2,25,1,NA,NA,NA,2,NA,NA,NA,NA
1954,0,0,"Philippines",9.203,124.673,1332,"Stratovolcano","Historical","D2",NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA
1955,0,0,"Chile",-40.35,-72.07,1114,"Pyroclastic cone","Historical","D1",4,2,1,NA,NA,NA,NA,NA,NA,NA,NA
1955,0,0,"Japan",31.58,130.67,1117,"Stratovolcano","Historical","D1",3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1956,1,0,"Russia",55.978,160.587,2882,"Stratovolcano","Historical","D1",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957,0,1,"United States",53.13,-168.68,2149,"Stratovolcano","Historical","D3",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957,0,0,"Indonesia",-7.542,110.442,2947,"Stratovolcano","Historical","D1",2,6,1,NA,NA,NA,NA,NA,2,NA,3
1957,0,0,"Japan",34.73,139.38,758,"Stratovolcano","Historical","D1",2,1,1,NA,NA,53,2,NA,NA,NA,NA
1957,0,0,"Japan",32.88,131.1,1592,"Caldera","Historical","D1",2,12,1,NA,NA,NA,NA,NA,NA,NA,NA
1958,0,0,"Indonesia",1.358,124.858,1324,"Stratovolcano","Historical","D1",2,1,1,NA,NA,10,1,NA,NA,NA,NA
1958,1,0,"Vanuatu",-16.829,168.536,-2,"Caldera","Historical","D1",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,1,1,"Chile",-40.59,-72.117,2236,"Stratovolcano","Holocene","U",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,0,0,"Japan",36.4,138.53,2560,"Complex volcano","Historical","D1",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1962,0,0,"Japan",43.42,142.68,2077,"Stratovolcano","Historical","D1",3,5,1,NA,NA,11,1,NA,NA,NA,NA
1962,0,0,"Indonesia",0.8,127.325,1715,"Stratovolcano","Historical","D1",2,5,1,NA,NA,5,1,NA,NA,NA,NA
1963,0,0,"Costa Rica",9.979,-83.852,3432,"Stratovolcano","Historical","D1",3,40,1,NA,NA,NA,1,NA,NA,400,3
1963,1,0,"Indonesia",-8.342,115.508,3142,"Stratovolcano","Historical","D1",4,1028,4,NA,3,624,3,NA,NA,NA,NA
1963,0,0,"Indonesia",-8.108,112.92,3676,"Stratovolcano","Historical","D1",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1963,0,1,"Indonesia",-8.342,115.508,3142,"Stratovolcano","Historical","D1",3,120,2,NA,NA,NA,NA,NA,NA,NA,NA
1963,0,0,"Chile",-39.42,-71.93,2847,"Stratovolcano","Historical","D1",2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1963,0,0,"Indonesia",-8.242,115.375,1717,"Caldera","Historical","D1",2,2,1,NA,NA,NA,NA,NA,NA,NA,1
1963,0,0,"Guatemala",14.473,-90.88,3763,"Stratovolcano","Historical","D1",3,7,1,NA,NA,NA,NA,NA,NA,NA,NA
1964,0,0,"Indonesia",-8.32,121.708,875,"Stratovolcano","Historical","D1",2,1,1,NA,NA,3,1,NA,NA,NA,NA
1964,0,0,"Chile",-39.42,-71.93,2847,"Stratovolcano","Historical","D1",2,22,1,NA,NA,NA,NA,NA,NA,NA,NA
1964,0,0,"Indonesia",-7.2,109.92,2565,"Complex volcano","Historical","D1",1,114,3,NA,NA,NA,NA,NA,NA,NA,NA
1965,1,0,"Philippines",14.002,120.993,400,"Stratovolcano","Historical","D1",4,355,3,NA,NA,NA,NA,NA,1,NA,1
1966,1,0,"Solomon Is.",-10.38,165.8,851,"Stratovolcano","Historical","D1",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1966,0,0,"Indonesia",-7.93,112.308,1731,"Stratovolcano","Historical","D1",4,215,3,78,2,86,2,NA,NA,NA,NA
1966,0,0,"Indonesia",3.67,125.5,1320,"Stratovolcano","Historical","D1",4,39,1,NA,NA,1000,3,NA,NA,NA,2
1966,0,0,"Tanzania",-2.751,35.902,2890,"Stratovolcano","Historical","D1",4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1967,0,0,"Indonesia",-7.542,110.442,2947,"Stratovolcano","Historical","D1",3,3,1,NA,NA,NA,NA,NA,NA,NA,NA
1967,0,0,"Tanzania",-2.751,35.902,2890,"Stratovolcano","Historical","D1",3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1967,0,0,"Indonesia",-8.108,112.92,3676,"Stratovolcano","Historical","D1",3,3,1,NA,NA,NA,NA,NA,1,NA,NA
1967,1,0,"Antarctica",-62.97,-60.65,576,"Caldera","Historical","D1",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1968,0,0,"Indonesia",-8.108,112.92,3676,"Stratovolcano","Historical","D1",2,372,3,120,3,152,3,NA,NA,NA,NA
1968,0,0,"Philippines",13.257,123.685,2462,"Stratovolcano","Historical","D1",3,6,1,NA,NA,NA,NA,NA,NA,NA,NA
1968,0,0,"Costa Rica",10.463,-84.703,1657,"Stratovolcano","Historical","D1",3,80,2,NA,NA,NA,NA,NA,NA,NA,NA
1969,0,0,"Indonesia",-8.88,121.63,637,"Stratovolcano","Historical","D1",3,2,1,NA,NA,10,1,NA,NA,287,2
1969,1,0,"Philippines",19.077,122.202,244,"Compound volcano","Historical","D1",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,0,0,"Iceland",63.98,-19.7,1491,"Stratovolcano","Historical","D1",3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1971,0,0,"Chile",-45.9,-72.97,1905,"Stratovolcano","Historical","D1",3,3,1,NA,NA,NA,NA,NA,NA,NA,NA
1971,1,0,"Solomon Is.",-10.38,165.8,851,"Stratovolcano","Historical","D1",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,0,0,"Guatemala",14.473,-90.88,3763,"Stratovolcano","Historical","D1",3,10,1,NA,NA,NA,NA,NA,NA,NA,NA
1971,0,0,"Spain",28.58,-17.83,2426,"Stratovolcano","Historical","D1",2,NA,1,NA,NA,NA,NA,NA,1,NA,NA
1971,0,0,"Chile",-39.42,-71.93,2847,"Stratovolcano","Historical","D1",2,15,1,NA,NA,NA,NA,NA,NA,NA,NA
1972,0,0,"Reunion",-21.229,55.713,2631,"Shield volcano","Historical","D1",2,3,1,NA,NA,NA,NA,NA,NA,NA,NA
1972,1,0,"Papua New Guinea",-5.52,148.121,140,"Stratovolcano","Historical","D1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,0,0,"Iceland",63.43,-20.28,279,"Submarine volcano","Historical","D1",3,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1973,0,0,"Indonesia",-8.32,121.708,875,"Stratovolcano","Historical","D1",3,NA,NA,NA,NA,NA,NA,NA,1,NA,1
1973,0,0,"Indonesia",-8.108,112.92,3676,"Stratovolcano","Historical","D1",2,12,1,NA,NA,NA,NA,NA,NA,NA,NA
1973,0,0,"Indonesia",-8.54,123.59,1018,"Complex volcano","Historical","D1",2,2,1,NA,NA,NA,NA,NA,NA,NA,NA
1974,0,0,"Indonesia",2.78,125.48,1784,"Stratovolcano","Historical","D1",3,4,1,NA,NA,NA,NA,NA,NA,NA,NA
1974,0,0,"Japan",31.58,130.67,1117,"Stratovolcano","Historical","D1",3,3,1,NA,NA,NA,NA,NA,NA,NA,NA
1974,0,0,"Japan",36.92,138.03,2400,"Lava dome","Historical","D1",2,3,1,NA,NA,NA,NA,NA,NA,NA,NA
1974,0,0,"Japan",31.58,130.67,1117,"Stratovolcano","Historical","D1",3,5,1,NA,NA,NA,NA,NA,NA,NA,NA
1974,0,0,"Guatemala",14.473,-90.88,3763,"Stratovolcano","Historical","D1",4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1974,1,0,"Papua New Guinea",-5.52,148.121,140,"Stratovolcano","Historical","D1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975,0,0,"Indonesia",-0.381,100.473,2891,"Complex volcano","Historical","D1",2,80,2,NA,NA,NA,NA,NA,3,NA,3
1975,0,0,"Costa Rica",10.463,-84.703,1657,"Stratovolcano","Historical","D1",3,2,1,NA,NA,NA,1,NA,NA,NA,NA
1975,1,1,"United States",19.425,-155.292,1222,"Shield volcano","Historical","D1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,0,0,"Ecuador",-2.03,-78.33,5230,"Stratovolcano","Historical","D1",3,2,1,NA,NA,4,1,NA,NA,NA,NA
1976,0,0,"Indonesia",-8.108,112.92,3676,"Stratovolcano","Historical","D1",2,119,3,NA,NA,NA,NA,NA,NA,NA,NA
1976,0,0,"Indonesia",2.78,125.48,1784,"Stratovolcano","Historical","D1",2,1,1,NA,NA,1,1,NA,NA,24,1
1977,0,0,"Congo, DRC",-1.52,29.25,3470,"Stratovolcano","Historical","D1",1,NA,2,NA,NA,NA,NA,NA,3,NA,NA
1977,0,0,"Comoros",-11.75,43.38,2361,"Shield volcano","Historical","D1",0,NA,1,NA,NA,NA,NA,NA,1,NA,NA
1977,0,0,"Iceland",65.73,-16.78,650,"Caldera","Historical","D1",1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1977,0,0,"Russia",56.057,160.638,4835,"Stratovolcano","Historical","D1",3,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1978,0,0,"Japan",42.53,140.83,731,"Stratovolcano","Historical","D1",3,3,1,NA,NA,2,1,NA,NA,NA,NA
1978,0,0,"Philippines",12.77,124.05,1565,"Stratovolcano","Historical","D1",2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1978,0,0,"Guatemala",14.756,-91.552,3772,"Stratovolcano","Historical","D1",3,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1979,0,0,"Indonesia",-7.2,109.92,2565,"Complex volcano","Historical","D1",1,149,3,NA,NA,NA,NA,NA,NA,NA,NA
1979,0,0,"Papua New Guinea",-4.649,145.964,1839,"Stratovolcano","Historical","D1",2,2,1,NA,NA,NA,NA,NA,NA,NA,NA
1979,0,0,"Italy",37.734,15.004,3350,"Stratovolcano","Historical","D1",2,9,1,NA,NA,23,1,NA,NA,NA,NA
1979,0,0,"Japan",32.88,131.1,1592,"Caldera","Historical","D1",2,3,1,NA,NA,11,1,NA,NA,NA,NA
1980,1,1,"United States",46.2,-122.18,2549,"Stratovolcano","Historical","D1",5,57,2,NA,NA,NA,NA,2000,4,NA,NA
1980,0,0,"Iceland",63.98,-19.7,1491,"Stratovolcano","Historical","D1",3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1981,0,0,"Italy",37.734,15.004,3350,"Stratovolcano","Historical","D1",2,NA,NA,NA,NA,NA,NA,10,3,NA,NA
1981,0,0,"Russia",50.858,155.55,2339,"Stratovolcano","Historical","D1",2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1981,0,0,"Philippines",13.257,123.685,2462,"Stratovolcano","Historical","D1",NA,200,3,NA,NA,NA,NA,NA,NA,NA,NA
1981,0,0,"Indonesia",-8.32,121.708,875,"Stratovolcano","Historical","D1",2,NA,NA,NA,NA,NA,NA,NA,1,NA,1
1982,0,1,"Mexico",17.36,-93.228,1150,"Tuff cone","Historical","D1",5,1879,4,1755,4,NA,NA,3.3,2,NA,NA
1982,0,0,"Mexico",17.36,-93.228,1150,"Tuff cone","Historical","D1",5,33,1,NA,NA,NA,NA,NA,NA,NA,NA
1982,0,0,"Indonesia",-7.25,108.05,2168,"Stratovolcano","Historical","D1",4,68,2,NA,NA,NA,NA,15,3,NA,NA
1982,0,0,"Mexico",17.36,-93.228,1150,"Tuff cone","Historical","D1",5,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1983,0,0,"Russia",56.057,160.638,4835,"Stratovolcano","Historical","D1",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1983,0,0,"Indonesia",-0.17,121.608,507,"Stratovolcano","Historical","D1",4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1983,1,0,"Indonesia",-8.54,123.59,1018,"Complex volcano","Historical","D1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983,0,1,"Japan",34.08,139.53,815,"Stratovolcano","Historical","D1",3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1984,0,0,"Equatorial Guinea",3.35,8.63,2009,"Shield volcano","Holocene","U",NA,37,1,NA,NA,NA,NA,NA,NA,NA,NA
1984,0,0,"Philippines",13.257,123.685,2462,"Stratovolcano","Historical","D1",3,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1985,0,0,"Colombia",4.895,-75.322,5321,"Stratovolcano","Historical","D1",3,23080,4,NA,NA,10000,4,NA,NA,NA,NA
1986,0,0,"Italy",38.789,15.213,926,"Stratovolcano","Historical","D1",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1986,0,0,"Cameroon",6.25,10.5,3011,"Maar","Radiocarbon","D5",3,1700,4,NA,NA,300,3,NA,NA,NA,NA
1986,0,0,"Indonesia",-7.542,110.442,2947,"Stratovolcano","Historical","D1",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1986,0,0,"Japan",34.73,139.38,758,"Stratovolcano","Historical","D1",3,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1987,0,0,"Guatemala",14.381,-90.601,2552,"Complex volcano","Historical","D1",3,NA,NA,NA,NA,15,1,NA,1,63,2
1987,0,0,"Italy",37.734,15.004,3350,"Stratovolcano","Historical","D1",2,2,1,NA,NA,7,1,NA,NA,NA,NA
1987,0,1,"Indonesia",-8.51,124.148,862,"Complex volcano","Historical","D1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,0,0,"Pacific Ocean",-4.525,129.871,640,"Caldera","Historical","D1",3,4,1,NA,NA,NA,NA,NA,NA,NA,NA
1988,0,0,"Costa Rica",10.463,-84.703,1657,"Stratovolcano","Historical","D1",3,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1988,0,0,"Chile",-38.377,-71.58,2865,"Stratovolcano","Historical","D1",3,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1990,0,0,"Russia",56.653,161.36,3283,"Stratovolcano","Historical","D1",3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1990,0,0,"Indonesia",-7.93,112.308,1731,"Stratovolcano","Historical","D1",4,32,1,NA,NA,NA,NA,NA,NA,NA,NA
1990,0,0,"Peru",-15.78,-71.85,5967,"Stratovolcano","Historical","D1",3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1990,0,0,"Guatemala",14.756,-91.552,3772,"Stratovolcano","Historical","D1",3,4,1,NA,NA,NA,NA,NA,NA,NA,NA
1990,0,0,"Japan",32.75,130.3,1500,"Complex volcano","Historical","D1",1,43,1,NA,NA,NA,NA,NA,NA,NA,NA
1991,0,1,"Philippines",15.13,120.35,1486,"Stratovolcano","Historical","D1",6,450,3,NA,NA,4,1,NA,3,NA,NA
1991,0,0,"Comoros",-11.75,43.38,2361,"Shield volcano","Historical","D1",2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1991,0,0,"Chile",-45.9,-72.97,1905,"Stratovolcano","Historical","D1",5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1991,0,0,"Indonesia",1.358,124.792,1580,"Stratovolcano","Historical","D1",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1991,0,0,"Italy",37.734,15.004,3350,"Stratovolcano","Historical","D1",2,NA,NA,NA,NA,NA,NA,2.5,2,NA,NA
1992,0,0,"Nicaragua",12.506,-86.702,728,"Cinder cone","Historical","D1",3,2,1,NA,NA,NA,NA,NA,NA,NA,NA
1992,0,0,"Indonesia",2.78,125.48,1784,"Stratovolcano","Historical","D1",1,6,1,NA,NA,NA,NA,NA,NA,NA,NA
1992,0,0,"Philippines",15.13,120.35,1486,"Stratovolcano","Historical","D1",1,6,1,NA,NA,NA,NA,NA,NA,NA,NA
1992,0,0,"United States",61.3,-152.25,3374,"Stratovolcano","Historical","D1",3,NA,NA,NA,NA,NA,NA,2,2,NA,NA
1993,0,0,"Colombia",1.22,-77.37,4276,"Complex volcano","Historical","D1",2,9,1,NA,NA,NA,NA,NA,NA,NA,NA
1993,0,0,"Philippines",13.257,123.685,2462,"Stratovolcano","Historical","D1",2,75,2,NA,NA,NA,NA,NA,NA,NA,NA
